구 분,역명,총계,일평균
1호선,서울역,"11,933,924","132,599"
1호선,시청역,"4,221,693","46,908"
1호선,종각역,"8,441,749","93,797"
1호선,종로3가역,"6,725,558","74,728"
1호선,종로5가역,"5,038,305","55,981"
1호선,동대문역,"3,116,104","34,623"
1호선,신설동역,"2,992,487","33,250"
1호선,제기동역,"3,757,112","41,746"
1호선,청량리역,"5,555,303","61,726"
1호선,동묘앞역,"1,827,379","20,304"
2호선,시청역,"4,393,136","48,813"
2호선,을지입구역,"9,405,942","104,510"
2호선,을지3가역,"3,477,494","38,639"
2호선,을지4가역,"2,352,311","26,137"
2호선,신당역,"2,765,117","30,724"
2호선,상왕십리역,"1,814,646","20,163"
2호선,왕십리역,"3,398,257","37,758"
2호선,한양대역,"2,056,895","22,854"
2호선,뚝섬역,"2,833,608","31,485"
2호선,성수역,"4,573,215","50,814"
2호선,건대입구역,"8,560,101","95,112"
2호선,구의역,"4,296,198","47,736"
2호선,강변역,"9,248,361","102,760"
2호선,잠실나루역,"3,219,975","35,778"
2호선,잠실역,"13,847,632","153,863"
2호선,신천역,"4,875,223","54,169"
2호선,종합운동장역,"2,488,607","27,651"
2호선,삼성역,"11,458,061","127,312"
2호선,선릉역,"9,436,568","104,851"
2호선,역삼역,"8,937,248","99,303"
2호선,강남역,"19,630,662","218,118"
2호선,교대역,"7,371,164","81,902"
2호선,서초역,"4,086,017","45,400"
2호선,방배역,"3,782,268","42,025"
2호선,사당역,"8,543,119","94,924"
2호선,낙성대역,"5,425,347","60,282"
2호선,서울대입구역,"9,587,721","106,530"
2호선,봉천역,"4,274,492","47,494"
2호선,신림역,"13,143,879","146,043"
2호선,신대방역,"4,882,131","54,246"
2호선,구로디지털역,"11,556,857","128,410"
2호선,대림역,"5,923,931","65,821"
2호선,신도림역,"12,047,013","133,856"
2호선,문래역,"3,449,907","38,332"
2호선,영등포구청역,"3,934,307","43,715"
2호선,당산역,"4,314,480","47,939"
2호선,합정역,"6,302,591","70,029"
2호선,홍대입구역,"14,039,432","155,994"
2호선,신촌역,"9,739,929","108,221"
2호선,이대역,"4,282,996","47,589"
2호선,아현역,"1,595,937","17,733"
2호선,충정로역,"2,117,313","23,526"
2호선,용답역,"470,804","5,231"
2호선,신답역,"250,082","2,779"
2호선,신설동역,"741,596","8,240"
2호선,도림천역,"183,875","2,043"
3호선,연신내역,"7,239,714","80,441"
3호선,불광역,"3,594,721","39,941"
3호선,녹번역,"2,544,241","28,269"
3호선,홍제역,"3,571,654","39,685"
3호선,무악재역,"795,003","8,833"
3호선,독립문역,"1,371,707","15,241"
3호선,경복궁역,"4,383,484","48,705"
3호선,안국역,"5,011,071","55,679"
3호선,종로3가역,"1,869,119","20,768"
3호선,을지3가역,"1,752,270","19,470"
3호선,동대입구역,"2,090,084","23,223"
3호선,약수역,"2,604,945","28,944"
3호선,금호역,"1,381,321","15,348"
3호선,옥수역,"1,925,203","21,391"
3호선,압구정역,"7,225,178","80,280"
3호선,신사역,"6,054,579","67,273"
3호선,잠원역,"1,050,243","11,669"
3호선,고속터미널역,"11,001,611","122,240"
3호선,교대역,"2,226,193","24,735"
3호선,남부터미널역,"6,795,973","75,511"
4호선,미아역,"3,358,022","37,311"
4호선,미아사거리역,"6,078,130","67,535"
4호선,길음역,"4,966,841","55,187"
4호선,성신여대역,"4,601,327","51,126"
4호선,한성대입구역,"2,918,343","32,426"
4호선,혜화역,"8,015,633","89,063"
4호선,동대문역,"4,498,608","49,985"
4호선,충무로역,"6,114,997","67,944"
4호선,명동역,"7,866,552","87,406"
4호선,회현역,"5,331,557","59,240"
4호선,서울역,"2,644,079","29,379"
4호선,숙대입구역,"3,112,627","34,585"
4호선,삼각지역,"1,140,703","12,674"
4호선,신용산역,"2,457,651","27,307"
4호선,이촌역,"1,792,511","19,917"
4호선,동작역,"523,615","5,818"
4호선,총신대입구역,"4,398,897","48,877"
4호선,사당역,"5,459,335","60,659"
4호선,남태령역,"206,457","2,294"
