행정구역별,총인구,남자,여자,내국인계,내국인_남자,내국인_여자,외국인계,외국인_남자,외국인_여자,가구계,일반가구,집단가구,외국인가구,주택계,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,주택이외의거처
전국,51069375,25608502,25460873,49705663,24819839,24885824,1363712,788663,575049,19560603,19111030,16464,433109,16367006,3973961,9806062,485349,1898090,203544,607195
읍부,4616802,2360708,2256094,4467697,2262853,2204844,149105,97855,51250,1737415,1695508,2189,39718,1614808,544351,864404,66387,112764,26902,49554
면부,4774878,2455898,2318980,4546520,2291860,2254660,228358,164038,64320,1981033,1927621,4284,49128,1982064,1524970,334810,31485,61366,29433,78036
동부,41677695,20791896,20885799,40691446,20265126,20426320,986249,526770,459479,15842155,15487901,9991,344263,12770134,1904640,8606848,387477,1723960,147209,479605
서울특별시,9904312,4859535,5044777,9567196,4694317,4872879,337116,165218,171898,3914820,3784490,2261,128069,2793244,355039,1636896,117235,654372,29702,150951
부산광역시,3448737,1701347,1747390,3404667,1675339,1729328,44070,26008,18062,1348315,1335900,686,11729,1164352,225697,738068,32120,154253,14214,50810
대구광역시,2466052,1228511,1237541,2436770,1211219,1225551,29282,17292,11990,937573,928528,574,8471,738100,155801,509068,9381,53098,10752,15304
인천광역시,2890451,1455017,1435434,2822601,1414793,1407808,67850,40224,27626,1066297,1045417,713,20167,942244,102914,577346,21589,232346,8049,39964
광주광역시,1502881,748867,754014,1481289,736656,744633,21592,12211,9381,573181,567157,438,5586,486527,88401,376731,7396,8517,5482,10625
대전광역시,1538394,772243,766151,1519314,763310,756004,19080,8933,10147,588395,582504,420,5471,468885,81292,338250,10068,34151,5124,10676
울산광역시,1166615,606924,559691,1136755,587603,549152,29860,19321,10539,434058,423412,239,10407,357674,66190,253010,7564,24585,6325,7444
세종특별자치시,204088,103210,100878,199617,100455,99162,4471,2755,1716,76419,75219,65,1135,81130,15696,62274,997,1499,664,2112
경기도,12479061,6309661,6169400,12026429,6039800,5986629,452632,269861,182771,4537581,4384742,3879,148960,3693557,498250,2502091,121960,538971,32285,163742
강원도,1518040,768241,749799,1499734,758601,741133,18306,9640,8666,611578,606117,788,4673,569899,230825,297005,20233,11037,10799,12283
충청북도,1589347,805377,783970,1548589,779961,768628,40758,25416,15342,613004,601856,814,10334,556951,204614,308352,15975,18382,9628,13852
충청남도,2107802,1078310,1029492,2036720,1034139,1002581,71082,44171,26911,816247,796185,1107,18955,754372,304281,382323,20096,37071,10601,23297
전라북도,1834114,915729,918385,1804184,899308,904876,29930,16421,13509,726572,717311,834,8427,687103,282928,364712,14980,14153,10330,13926
전라남도,1799044,900967,898077,1764433,879860,884573,34611,21107,13504,730743,720612,933,9198,747621,404904,306661,14187,9915,11954,20253
경상북도,2680294,1351037,1329257,2622729,1314196,1308533,57565,36841,20724,1078479,1062724,1312,14443,995385,457157,449154,27799,44533,16742,26036
경상남도,3334524,1698737,1635787,3244163,1634407,1609756,90361,64330,26031,1282617,1258487,1176,22954,1134738,416364,641589,24944,35701,16140,36605
제주특별자치도,605619,304789,300830,590473,295875,294598,15146,8914,6232,224724,220369,225,4130,195224,83608,62532,18825,25506,4753,9315
